EmployeeID,KPI1,KPI2,KPI3,KPI4,Current Employee
0,-1.039682384,-0.716426478,-0.513467693,0.414661471,0
1,0.237093465,-0.820123996,-0.865801274,0.438661047,0
2,-2.077948003,0.185688029,-0.132418305,0.711280402,1
3,-0.684711628,1.522335039,1.674082146,-1.234292085,1
4,-1.137117653,-0.555136531,-0.176780706,-1.776008972,0
5,-1.052934587,0.119522573,-0.188215465,-0.867239924,1
6,0.953745557,0.738929252,0.6416214,-1.069803493,1
7,-0.623751805,1.770892731,2.084658776,0.436191916,1
8,0.998210721,-0.74099461,-0.356348072,-1.950751965,0
9,0.758314405,1.076384475,1.131034824,-3.015482485,1
10,0.077446987,-0.843088361,-0.880547803,-0.08415317,0
11,-0.956805146,-1.091174781,-1.295454027,1.044791141,0
12,0.995712549,1.700963674,2.007093291,1.931698523,1
13,0.395978553,0.209047934,-0.16045266,-1.455579401,1
14,0.177306559,-0.866959365,-0.553164976,1.714738572,0
15,0.027309988,0.608264436,0.445036924,0.442507182,1
16,1.749741607,1.312478572,1.505352228,-0.3628566,1
17,-0.700475943,-1.352578351,-1.654399169,-1.260000648,0
18,-0.151829603,-0.985443417,-1.001387705,1.282372239,0
19,1.536147843,-1.290915014,-1.462398863,0.271752371,0
20,-0.480180845,-0.148820101,-0.637146441,1.058514591,1
21,1.284412864,-0.734966034,-0.649690048,-0.578330033,0
22,-1.382647374,0.633788552,0.528289624,0.977208196,1
23,-0.354404251,-0.904098607,-0.850106505,1.15084446,0
24,-0.603427108,-1.089685366,-0.998955722,0.740247989,0
25,0.489230541,0.397339232,0.300022395,0.534330926,1
26,-0.232945284,-0.385929418,-0.18910897,0.177749158,0
27,-0.988703513,1.329763654,1.430561019,0.346954921,1
28,0.077899373,-1.056537212,-0.910068371,0.581014557,0
29,0.918519644,2.28421041,2.76117837,-1.275876138,1
30,1.248070996,2.111924424,2.566108884,0.258678791,1
31,-0.636424344,-1.289004006,-1.549661743,0.708618969,0
32,2.786314142,0.181590218,-0.102305358,-0.092795547,1
33,0.247125777,2.074733246,2.308706564,0.841990528,1
34,0.52527344,-1.157944324,,-0.032663776,0
35,,0.05900477,-0.288590339,-0.993368239,1
36,,-1.548609311,-1.928271892,-1.081828916,0
37,-1.410964218,-1.247043114,-1.348630899,-0.864396039,0
38,-0.903711036,1.265631328,1.345388809,1.825154059,1
39,,1.598069217,1.764344398,0.743390666,1
40,-1.206941269,-1.362325087,-1.632324983,-1.058887168,0
41,-0.594184315,1.443963202,1.553800544,-0.460667052,1
42,-0.979904867,1.064863638,0.973079057,0.634297349,1
43,-0.16656743,-1.406518084,-1.661413705,0.324692794,0
44,-1.465218077,2.390944751,2.840218921,1.414106993,1
45,0.330926493,0.53633448,0.362295465,1.113977827,1
46,1.443228994,0.700237871,0.6555524,-0.779655679,1
47,1.966844297,-1.437545037,-1.520088134,-0.986824964,0
48,-1.024705345,-0.84687583,-0.901573458,0.326570834,0
49,0.007344148,-0.970013345,-0.791413743,0.014839741,0
50,-0.279332182,0.562128649,0.38692775,-0.467918001,1
51,0.434977424,0.806077716,0.683250077,1.58301205,1
52,0.932314082,1.339342248,1.500885285,-1.204091333,1
53,0.485906973,1.678689963,1.918888591,1.113517379,1
54,-0.601602407,0.384842916,0.046616916,0.887040518,1
55,2.317374033,0.718599599,0.592751119,0.329576023,1
56,0.805919218,-0.449228973,-0.999934665,1.531084367,1
57,1.10865729,-1.124507382,-1.030391647,-1.207492759,0
58,0.699731483,2.299575077,3.061571348,-0.365815037,1
59,-0.205758004,-1.128141494,-1.308458009,-0.307899862,0
60,-0.363764092,-1.455487364,-1.58842083,-0.502191218,0
61,1.299742223,0.832839387,0.775975498,0.324599176,1
62,0.396682215,0.847829799,0.801694146,0.851171901,1
63,0.747613628,-0.580723577,-1.257327128,1.406557828,1
64,0.220210765,-0.633183367,-0.312268814,0.710597684,0
65,0.061795762,1.385451608,1.477021133,-0.230032207,1
66,-0.287869573,0.892563405,0.898244073,-0.634885402,1
67,1.398577323,0.784378049,0.661930058,-0.589717606,1
68,1.579844226,-0.952658624,-0.951852699,-0.675514034,0
69,-0.75766336,1.100679691,1.224700998,-1.182437356,1
70,-0.749252183,-0.965625266,-1.014675178,-0.380727051,0
71,-2.581827657,1.046205188,1.130005854,1.720412531,1
72,-0.167832918,-0.982180705,-0.920673843,0.228478827,0
73,-0.743675543,-0.994499822,-0.886309382,0.15222666,0
74,-1.682596981,-0.717016893,-0.614169228,-0.439544085,0
75,-1.573290274,-0.995717645,-0.958990839,-0.269444661,0
76,-1.209921751,0.927961432,0.909884043,-0.953519169,1
77,0.487201215,0.008482045,-0.449109588,1.797895065,1
78,0.129015691,1.044548864,1.099919815,0.439973111,1
79,-0.65303439,-1.369914786,-1.503531225,0.192251967,0
80,-1.529124765,0.446705945,0.218219561,-0.127208641,1
81,0.637360253,-0.933847621,-0.787061763,2.199509069,0
82,1.171090247,0.998169666,0.994340964,0.493432291,1
83,-0.111614376,-0.870352023,-0.719125707,0.37202329,0
84,-0.221024076,2.16181368,2.633784826,0.233061433,1
85,0.719061112,-0.139949796,-0.578061015,0.510810406,1
86,0.705002809,0.162719506,-0.19003448,-0.070669487,1
87,0.844595845,-0.778497422,-0.651039175,-0.612990067,0
88,2.478138,-1.16680333,-1.114689159,1.037495871,0
89,1.525091825,-0.797803122,-0.819691805,0.180386291,0
90,-0.053740138,-0.332915782,,-0.696898312,0
91,-0.37424111,1.01984035,1.037629817,-0.386889934,1
92,-0.564945424,-0.729218135,-0.504440275,1.170875688,0
93,0.632883863,-0.794819923,-0.664742046,2.217022498,0
94,-0.625875342,1.178709628,1.241592137,-1.969261552,1
95,1.047726728,1.029606373,1.057446743,-1.416501987,1
96,-0.322035638,0.625853651,0.273717972,-0.555866837,1
97,1.048457448,0.064489379,-0.325086156,-0.256247957,1
98,0.72498459,-1.04724986,-1.047736113,0.065249276,0
99,0.375179659,-1.207518113,-0.775617166,0.775835078,0
100,-0.458408295,-0.838947488,-0.937300372,-0.633942857,0
101,0.911979721,-0.737757642,-0.569846145,0.478093538,0
102,0.137475524,1.121490087,1.070009712,-0.765760976,1
103,-0.063045251,1.009252194,1.063867048,-0.667235761,1
104,-2.561369425,1.356998636,1.576123191,0.816341833,1
105,-0.630724433,1.299206258,1.374453754,0.247542798,1
106,-2.397024319,-1.546239954,-1.912978767,-0.841419206,0
107,0.189577776,0.068354626,-0.295754346,-0.130875062,1
108,1.049509146,0.946746207,0.893591099,0.752362599,1
109,-1.853591377,-0.809668192,-0.678448905,0.356765707,0
110,-0.419185288,-0.966749016,-0.690729852,-0.048503725,0
111,-1.604789288,1.856774421,2.20997006,1.943918511,0
112,0.886805184,-0.580408091,-0.277092817,-0.654678714,0
113,0.281356166,1.158961573,1.140213572,-1.377745921,1
114,1.68611481,0.004119764,-0.29371363,1.9108335,1
115,0.109930053,0.268546062,-0.021676566,-0.636383276,1
116,1.079242774,-0.79225185,-0.685312878,1.685688231,0
117,-0.348308585,0.093575857,-0.21245198,0.161580263,1
118,1.223027748,-1.341930142,-1.607525124,0.780756497,0
119,1.277012238,2.671475982,3.283904663,0.370366886,1
120,-0.781875124,-0.603080221,-0.311245718,-0.277661932,0
121,-2.029619133,1.304908823,1.441436298,1.444505744,1
122,0.029634743,-1.79801166,-2.027286449,0.804522049,0
123,0.20617798,-0.282946605,-0.751840845,1.426002534,1
124,0.540651284,-0.939236305,-0.9647784,1.294539091,0
125,1.150509351,-1.480498027,-1.73941351,0.979297292,0
126,0.064442119,-0.582143759,-0.555113491,-0.62957916,0
127,0.073457111,1.691974373,1.937920148,1.619917787,1
128,0.296650556,0.327643292,0.143441647,-1.924055879,1
129,-0.603742439,1.203498293,1.330415923,0.468772815,1
130,1.785096786,-0.887435087,-0.995547329,0.789584622,0
131,0.234144356,0.824250278,0.805471777,-1.037367881,1
132,0.218240011,-0.744552632,-0.702186181,-0.4581672,0
133,0.098657475,-0.049305198,-0.343704044,0.353691936,1
134,1.299495785,0.632358567,0.626173226,-0.286993586,1
135,-0.103014601,0.474220933,0.199046189,0.039675362,1
136,0.37389109,-0.187580392,-0.650774827,-0.591252107,1
137,0.357646192,-0.862199719,-0.924444966,-0.780705289,0
138,1.415231479,-0.830176897,-0.65817558,0.191140954,0
139,-0.626054092,0.340009403,0.106540887,0.799150002,1
140,-0.460555717,1.347631769,1.466783084,0.137527275,1
141,0.476380274,2.203904559,2.637592223,-0.78692416,1
142,0.060406058,-0.889901443,-0.989581492,-2.237158228,0
143,0.148815365,1.212790092,1.349174146,-1.779632967,1
144,1.485457365,-1.004208364,-1.007726822,-2.041194769,0
145,-0.890598232,-0.553939801,0.012312535,1.53815866,0
